,day,infection_rate,dead_rate
0,1.0,0.0015,0.0001603214103066892
1,2.0,5.383392723657648e-05,3.2968167871086125e-05
2,3.0,4.52021408177824e-05,0.00017622601289081163
3,4.0,7.448700711464663e-05,0.00021613329880263034
4,5.0,1.9661194721892307e-05,0.00021199409993696118
5,6.0,2.686856502224638e-05,0.00011594824707184972
6,7.0,6.218630899185141e-05,6.025670956959526e-05
7,8.0,2.9109236226782542e-05,0.00020894505419544982
8,9.0,2.9801870767447952e-05,8.489850452152979e-05
9,10.0,4.3921397596505505e-05,0.00017499747756918153
10,11.0,5.941398424949447e-05,0.0001
11,12.0,1.6180721104912918e-05,0.0005
12,13.0,0.0001,0.00011134403148219441
13,14.0,0.0003,7.592520340028663e-05
14,15.0,0.0005,0.00010078993942979624
15,16.0,0.0005,4.506407136006033e-05
16,17.0,5.878452155286044e-05,0.0001
17,18.0,4.6222711421124524e-05,0.0002
18,19.0,9.02764589869584e-06,0.0002
19,20.0,6.476326216412846e-05,0.00014369079827590773
20,21.0,4.528445848074042e-05,0.00015619877736808456
21,22.0,1.0761404987992446e-05,0.0001
22,23.0,3.715157139792155e-05,6.5751339358771e-05
23,24.0,1.5346589462302004e-05,0.0002
24,25.0,4.921524836894672e-05,7.250861866835066e-05
25,26.0,3.817346235039476e-05,0.0001
26,27.0,6.935632957374647e-05,0.0001
27,28.0,5.6475797536578164e-05,0.0001
28,29.0,6.122556438828892e-05,0.0001
29,30.0,7.322338589252414e-05,0.00018586930082283444
