,day,s,e,i,h,r,d,v
0,1.0,7147,1297,1025,0,0,0,531
1,2.0,7019,1361,1025,0,0,0,595
2,3.0,6920,1383,1000,0,0,25,672
3,4.0,6880,1389,795,0,0,230,706
4,5.0,6866,1392,665,0,0,360,717
5,6.0,6859,144,1908,0,0,366,723
6,7.0,6853,20,1999,0,0,401,727
7,8.0,6849,9,1649,0,0,763,730
8,9.0,6848,5,1355,0,0,1061,731
9,10.0,6848,4,1061,0,0,1356,731
10,11.0,6848,2,943,0,0,1476,731
11,12.0,6848,1,926,0,0,1494,731
12,13.0,6848,0,852,0,0,1569,731
13,14.0,6848,0,199,0,0,2222,731
14,15.0,6848,0,5,0,0,2416,731
15,16.0,6848,0,2,0,0,2419,731
16,17.0,6848,0,2,0,0,2419,731
17,18.0,6848,0,2,0,0,2419,731
18,19.0,6848,0,2,0,0,2419,731
19,20.0,6848,0,2,0,0,2419,731
20,21.0,6848,0,1,0,0,2420,731
