,day,s,e,i,h,r,d,v
0,1.0,7636,817,268,756,0,0,523
1,2.0,7462,902,267,757,0,0,612
2,3.0,7348,934,261,679,0,84,694
3,4.0,7303,950,245,468,0,311,723
4,5.0,7273,395,801,429,0,367,735
5,6.0,7253,175,720,739,0,375,738
6,7.0,7244,63,549,660,305,440,739
7,8.0,7239,50,333,699,362,578,739
8,9.0,7235,45,242,675,363,701,739
9,10.0,7232,41,211,551,363,863,739
10,11.0,7231,40,197,467,363,963,739
11,12.0,7231,39,170,81,718,1022,739
12,13.0,7231,38,37,30,747,1178,739
13,14.0,7231,37,8,20,755,1210,739
14,15.0,7231,32,11,12,763,1212,739
15,16.0,7231,24,14,11,768,1213,739
16,17.0,7229,7,27,12,769,1217,739
17,18.0,7221,10,19,22,770,1219,739
18,19.0,7219,12,12,25,772,1221,739
19,20.0,7218,13,12,22,773,1223,739
20,21.0,7218,11,12,13,773,1234,739
21,22.0,7218,9,11,10,775,1238,739
22,23.0,7217,5,12,11,776,1240,739
23,24.0,7216,2,8,11,780,1244,739
24,25.0,7216,2,3,10,782,1248,739
25,26.0,7215,3,3,6,783,1251,739
26,27.0,7215,2,4,5,783,1252,739
27,28.0,7215,2,3,6,783,1252,739
28,29.0,7210,6,3,5,783,1254,739
29,30.0,7208,7,3,3,786,1254,739
