,step,s,e,i,h,r,d,v
0,1,5307,0,618,406,0,0,3669
1,2,5307,0,435,589,0,0,3669
2,3,5307,0,337,687,0,0,3669
3,4,5307,0,307,717,0,0,3669
4,5,5307,0,288,736,0,0,3669
5,6,5307,0,278,746,0,0,3669
6,7,5307,0,272,752,0,0,3669
7,8,5307,0,268,756,0,0,3669
8,9,5307,0,267,757,0,0,3669
9,10,5307,0,267,757,0,0,3669
10,11,5307,0,267,757,0,0,3669
11,12,4771,535,267,757,0,0,3670
12,13,4771,535,267,757,0,0,3670
13,14,4771,535,267,757,0,0,3670
14,15,4771,535,267,757,0,0,3670
15,16,4771,535,267,757,0,0,3670
16,17,4771,535,267,757,0,0,3670
17,18,4771,535,267,757,0,0,3670
18,19,4771,535,267,757,0,0,3670
19,20,4771,535,267,757,0,0,3670
20,21,4771,535,267,757,0,0,3670
21,22,4771,535,267,757,0,0,3670
22,23,4771,535,267,757,0,0,3670
23,24,4708,597,267,757,0,0,3671
24,25,4708,597,267,757,0,0,3671
25,26,4708,597,267,757,0,0,3671
26,27,4708,597,267,757,0,0,3671
27,28,4708,597,267,757,0,0,3671
28,29,4708,597,267,757,0,0,3671
29,30,4708,597,267,757,0,0,3671
30,31,4708,597,267,757,0,0,3671
31,32,4708,597,267,757,0,0,3671
32,33,4708,597,267,757,0,0,3671
33,34,4708,597,267,757,0,0,3671
34,35,4708,597,267,714,0,43,3671
35,36,4640,67,854,677,0,89,3673
36,37,4640,67,786,719,0,115,3673
37,38,4640,67,730,752,0,138,3673
38,39,4640,67,670,780,0,170,3673
39,40,4640,67,623,803,0,194,3673
40,41,4640,67,584,820,0,216,3673
41,42,4640,67,542,844,0,234,3673
42,43,4640,67,518,846,0,256,3673
43,44,4640,67,489,865,0,266,3673
44,45,4640,67,478,864,0,278,3673
45,46,4640,67,466,865,0,289,3673
46,47,4640,67,450,873,0,297,3673
47,48,4612,29,505,874,0,305,3675
48,49,4612,29,463,910,0,311,3675
49,50,4612,29,439,927,0,318,3675
50,51,4612,29,425,935,0,324,3675
51,52,4612,29,412,940,0,332,3675
52,53,4612,29,400,949,0,335,3675
53,54,4612,29,395,951,0,338,3675
54,55,4612,29,392,951,0,341,3675
55,56,4612,29,392,948,0,344,3675
56,57,4612,29,392,943,0,349,3675
57,58,4612,29,392,939,0,353,3675
58,59,4612,29,392,633,306,353,3675
59,60,4602,10,419,545,394,354,3676
60,61,4602,10,415,534,409,354,3676
61,62,4602,10,410,526,422,354,3676
62,63,4602,10,407,525,426,354,3676
63,64,4602,10,403,527,428,354,3676
64,65,4602,10,403,525,430,354,3676
65,66,4602,10,402,526,430,354,3676
66,67,4602,10,401,525,432,354,3676
67,68,4602,10,400,526,432,354,3676
68,69,4602,10,398,528,432,354,3676
69,70,4602,10,398,528,432,354,3676
70,71,4602,10,398,507,432,375,3676
