,step,s,e,i,h,r,d,v
0,1,8524,0,643,381,0,0,452
1,2,8524,0,452,572,0,0,452
2,3,8524,0,373,651,0,0,452
3,4,8524,0,324,700,0,0,452
4,5,8524,0,298,726,0,0,452
5,6,8524,0,282,742,0,0,452
6,7,8524,0,274,750,0,0,452
7,8,8524,0,271,753,0,0,452
8,9,8524,0,271,753,0,0,452
9,10,8524,0,270,754,0,0,452
10,11,8524,0,269,755,0,0,452
11,12,7636,817,268,756,0,0,523
12,13,7636,817,267,757,0,0,523
13,14,7636,817,267,757,0,0,523
14,15,7636,817,267,757,0,0,523
15,16,7636,817,267,757,0,0,523
16,17,7636,817,267,757,0,0,523
17,18,7636,817,267,757,0,0,523
18,19,7636,817,267,757,0,0,523
19,20,7636,817,267,757,0,0,523
20,21,7636,817,267,757,0,0,523
21,22,7636,817,267,757,0,0,523
22,23,7636,817,267,757,0,0,523
23,24,7462,902,267,757,0,0,612
24,25,7462,902,267,757,0,0,612
25,26,7462,902,267,757,0,0,612
26,27,7462,902,267,757,0,0,612
27,28,7462,902,267,757,0,0,612
28,29,7462,902,267,757,0,0,612
29,30,7462,902,267,757,0,0,612
30,31,7462,902,267,757,0,0,612
31,32,7462,902,267,757,0,0,612
32,33,7462,902,267,757,0,0,612
33,34,7462,902,267,757,0,0,612
34,35,7462,902,267,716,0,41,612
35,36,7348,934,261,679,0,84,694
36,37,7348,934,258,650,0,116,694
37,38,7348,934,258,629,0,137,694
38,39,7348,934,256,603,0,165,694
39,40,7348,934,254,584,0,186,694
40,41,7348,934,254,560,0,210,694
41,42,7348,934,253,539,0,232,694
42,43,7348,934,252,523,0,249,694
43,44,7348,934,250,509,0,265,694
44,45,7348,934,247,500,0,277,694
45,46,7348,934,247,487,0,290,694
46,47,7348,934,246,476,0,302,694
47,48,7303,950,245,468,0,311,723
48,49,7303,950,240,459,0,325,723
49,50,7303,950,236,450,0,338,723
50,51,7303,950,235,448,0,341,723
51,52,7303,950,231,444,0,349,723
52,53,7303,950,230,442,0,352,723
53,54,7303,950,228,438,0,358,723
54,55,7303,950,228,433,0,363,723
55,56,7303,950,228,431,0,365,723
56,57,7303,950,228,430,0,366,723
57,58,7303,950,228,430,0,366,723
58,59,7303,950,228,429,0,367,723
59,60,7273,395,801,429,0,367,735
60,61,7273,395,762,467,0,368,735
