,day,infection_rate,dead_rate
0,1.0,0.0006,1e-05
1,2.0,1e-05,1e-05
2,3.0,0.0001,1e-05
3,4.0,1e-05,1e-05
4,5.0,1e-05,1e-05
5,6.0,1e-05,1e-05
6,7.0,0.0002,1e-05
7,8.0,0.0001,1e-05
8,9.0,1e-05,1e-05
9,10.0,1e-05,1e-05
10,11.0,1e-05,1e-05
11,12.0,1e-05,1e-05
12,13.0,0.0001,0.0001
13,14.0,1e-05,0.0002
14,15.0,0.0003,0.0003
15,16.0,0.0001,0.0002
16,17.0,0.0001,0.0001
17,18.0,0.0002,0.0001
18,19.0,0.0001,0.0002
19,20.0,0.0002,0.0003
20,21.0,1e-05,0.0005
21,22.0,1e-05,0.0006
22,23.0,1e-05,0.0004
23,24.0,0.0001,0.0004
24,25.0,0.0001,0.0003
25,26.0,1e-05,0.0004
26,27.0,0.0001,0.0001
27,28.0,0.0001,0.0003
28,29.0,0.0001,0.0005
29,30.0,0.0001,0.0006
