,day,s,e,i,h,r,d,v
0,1.0,4431,827,885,122,0,0,3735
1,2.0,4214,10,1667,157,0,0,3952
2,3.0,4024,0,1648,186,0,0,4142
3,4.0,3931,0,1612,222,0,0,4235
4,5.0,3895,0,1565,269,0,0,4271
5,6.0,3872,0,1508,326,0,0,4294
6,7.0,3865,0,1414,387,33,0,4301
7,8.0,3864,0,1327,455,49,3,4302
8,9.0,3863,0,1203,526,98,7,4303
9,10.0,3863,0,1093,607,121,13,4303
10,11.0,3863,0,939,661,196,38,4303
11,12.0,3863,0,777,709,240,108,4303
12,13.0,3863,0,562,712,317,243,4303
13,14.0,3863,0,384,704,369,377,4303
14,15.0,3863,0,231,672,429,502,4303
15,16.0,3863,0,94,650,480,610,4303
16,17.0,3863,0,12,562,574,686,4303
17,18.0,3863,0,0,0,1147,687,4303
