,day,s,e,i,h,r,d,v
0,1.0,5387,116,506,0,0,0,3991
1,2.0,5061,199,506,0,0,0,4234
2,3.0,4767,269,507,0,0,0,4457
3,4.0,4479,331,507,0,0,0,4683
4,5.0,4242,386,507,0,0,0,4865
5,6.0,4016,431,507,0,0,0,5046
6,7.0,3802,473,509,0,0,0,5216
7,8.0,3580,503,510,0,0,0,5407
8,9.0,3380,542,510,0,0,0,5568
9,10.0,3207,566,510,0,0,0,5717
10,11.0,3037,589,510,0,0,0,5864
11,12.0,2871,604,509,1,0,0,6015
12,13.0,2730,620,510,0,0,1,6139
13,14.0,2579,640,508,0,0,3,6270
14,15.0,2463,644,508,0,0,6,6379
15,16.0,2334,652,507,0,0,8,6499
16,17.0,2230,655,507,0,0,9,6599
17,18.0,2139,658,508,0,0,10,6685
18,19.0,2038,660,507,0,0,12,6783
19,20.0,1935,665,506,0,0,15,6879
20,21.0,1836,675,501,0,0,20,6968
21,22.0,1730,677,495,0,0,26,7072
22,23.0,1654,680,491,0,0,30,7145
23,24.0,1582,684,488,0,0,34,7212
24,25.0,1502,687,486,0,0,37,7288
25,26.0,1426,690,482,0,0,41,7361
26,27.0,1352,693,482,0,0,42,7431
27,28.0,1292,694,480,0,0,45,7489
28,29.0,1234,696,476,0,0,50,7544
29,30.0,1182,697,471,0,0,56,7594
