,step,s,e,i,h,r,d,v
0,1,5445,0,1007,0,0,0,3548
1,2,5445,0,1007,0,0,0,3548
2,3,5445,0,1007,0,0,0,3548
3,4,5445,0,1007,0,0,0,3548
4,5,5445,0,1007,0,0,0,3548
5,6,4618,827,1007,0,0,0,3548
6,7,4618,827,1007,0,0,0,3548
7,8,4618,827,1007,0,0,0,3548
8,9,4618,827,1007,0,0,0,3548
9,10,4618,827,1007,0,0,0,3548
10,11,4618,827,1007,0,0,0,3548
11,12,4431,827,885,122,0,0,3735
12,13,4431,827,885,122,0,0,3735
13,14,4431,827,885,122,0,0,3735
14,15,4431,827,885,122,0,0,3735
15,16,4431,827,885,122,0,0,3735
16,17,4431,827,885,122,0,0,3735
17,18,4431,84,1628,122,0,0,3735
18,19,4431,84,1628,122,0,0,3735
19,20,4431,84,1628,122,0,0,3735
20,21,4431,84,1628,122,0,0,3735
21,22,4431,84,1628,122,0,0,3735
22,23,4431,84,1628,122,0,0,3735
23,24,4214,10,1667,157,0,0,3952
24,25,4214,10,1667,157,0,0,3952
25,26,4214,10,1667,157,0,0,3952
26,27,4214,10,1667,157,0,0,3952
27,28,4214,10,1667,157,0,0,3952
28,29,4214,10,1667,157,0,0,3952
29,30,4214,0,1677,157,0,0,3952
30,31,4214,0,1677,157,0,0,3952
31,32,4214,0,1677,157,0,0,3952
32,33,4214,0,1677,157,0,0,3952
33,34,4214,0,1677,157,0,0,3952
34,35,4214,0,1677,157,0,0,3952
35,36,4024,0,1648,186,0,0,4142
36,37,4024,0,1648,186,0,0,4142
37,38,4024,0,1648,186,0,0,4142
38,39,4024,0,1648,186,0,0,4142
39,40,4024,0,1648,186,0,0,4142
40,41,4024,0,1648,186,0,0,4142
41,42,4024,0,1648,186,0,0,4142
42,43,4024,0,1648,186,0,0,4142
43,44,4024,0,1648,186,0,0,4142
44,45,4024,0,1648,186,0,0,4142
45,46,4024,0,1648,186,0,0,4142
46,47,4024,0,1648,186,0,0,4142
47,48,3931,0,1612,222,0,0,4235
48,49,3931,0,1612,222,0,0,4235
49,50,3931,0,1612,222,0,0,4235
50,51,3931,0,1612,222,0,0,4235
51,52,3931,0,1612,222,0,0,4235
52,53,3931,0,1612,222,0,0,4235
53,54,3931,0,1612,222,0,0,4235
