,step,s,e,i,h,r,d,v
0,1,5763,0,506,0,0,0,3731
1,2,5763,0,506,0,0,0,3731
2,3,5763,0,506,0,0,0,3731
3,4,5763,0,506,0,0,0,3731
4,5,5763,0,506,0,0,0,3731
5,6,5763,0,506,0,0,0,3731
6,7,5763,0,506,0,0,0,3731
7,8,5763,0,506,0,0,0,3731
8,9,5763,0,506,0,0,0,3731
9,10,5763,0,506,0,0,0,3731
10,11,5763,0,506,0,0,0,3731
11,12,5387,116,506,0,0,0,3991
12,13,5387,116,506,0,0,0,3991
13,14,5387,116,506,0,0,0,3991
14,15,5387,116,506,0,0,0,3991
15,16,5387,116,506,0,0,0,3991
16,17,5387,116,506,0,0,0,3991
17,18,5387,116,506,0,0,0,3991
18,19,5387,116,506,0,0,0,3991
19,20,5387,116,506,0,0,0,3991
20,21,5387,116,506,0,0,0,3991
21,22,5387,116,506,0,0,0,3991
22,23,5387,116,506,0,0,0,3991
23,24,5061,199,506,0,0,0,4234
24,25,5061,199,506,0,0,0,4234
25,26,5061,199,506,0,0,0,4234
26,27,5061,199,506,0,0,0,4234
27,28,5061,199,506,0,0,0,4234
28,29,5061,199,506,0,0,0,4234
29,30,5061,199,506,0,0,0,4234
30,31,5061,199,506,0,0,0,4234
31,32,5061,199,506,0,0,0,4234
32,33,5061,199,506,0,0,0,4234
33,34,5061,199,506,0,0,0,4234
34,35,5061,199,506,0,0,0,4234
35,36,4767,269,507,0,0,0,4457
36,37,4767,269,507,0,0,0,4457
37,38,4767,269,507,0,0,0,4457
38,39,4767,269,507,0,0,0,4457
39,40,4767,269,507,0,0,0,4457
40,41,4767,269,507,0,0,0,4457
41,42,4767,269,507,0,0,0,4457
42,43,4767,269,507,0,0,0,4457
43,44,4767,269,507,0,0,0,4457
44,45,4767,269,507,0,0,0,4457
45,46,4767,269,507,0,0,0,4457
46,47,4767,269,507,0,0,0,4457
47,48,4479,331,507,0,0,0,4683
48,49,4479,331,507,0,0,0,4683
49,50,4479,331,507,0,0,0,4683
50,51,4479,331,507,0,0,0,4683
51,52,4479,331,507,0,0,0,4683
52,53,4479,331,507,0,0,0,4683
53,54,4479,331,507,0,0,0,4683
54,55,4479,331,507,0,0,0,4683
55,56,4479,331,507,0,0,0,4683
56,57,4479,331,507,0,0,0,4683
57,58,4479,331,507,0,0,0,4683
58,59,4479,331,507,0,0,0,4683
59,60,4242,386,507,0,0,0,4865
